Disease,Medication,FoodToEat,FoodToAvoid,Links
Fungal infection,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","Probiotics like yogurt, garlic (natural antifungal), coconut oil, and foods rich in Omega-3s (e.g., salmon, nuts) can help balance yeast levels. Additionally, ginger, turmeric, and cinnamon have antifungal properties. Lemon and lime juice can also aid digestion and balance pH levels.","High-sugar foods, refined carbs, alcohol, and fermented foods, as they can feed fungal overgrowth like Candida​",https://www.who.int/news/item/25-10-2022-who-releases-first-ever-list-of-health-threatening-fungi
Allergy,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']","Anti-inflammatory foods such as fatty fish (rich in Omega-3), flaxseeds, and turmeric can reduce inflammation linked to allergic reactions. Probiotic-rich foods (e.g., yogurt, kefir) might help boost gut health and immune response.","Common allergens (e.g., dairy, gluten, soy, nuts), processed foods, and sugar may aggravate symptoms",https://doctoralexa.com/learn/womens-health/foods-that-cause-yeast-infections/
GERD,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']","Bananas, melons, oatmeal, and whole grains are gentle on the stomach. Vegetables like broccoli, asparagus, and leafy greens are good options. Ginger can soothe the digestive tract."," Acidic foods (e.g., tomatoes, citrus), chocolate, spicy foods, coffee, and alcohol can trigger acid reflux​",https://www.thecandidadiet.com/candida-fighting-foods/
Chronic cholestasis,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']","Fiber-rich foods (e.g., fruits, vegetables, whole grains), and healthy fats (e.g., olive oil, avocados). Vitamin D and calcium-rich foods are essential for those with liver conditions affecting bile flow.","Saturated fats, fried foods, and high-cholesterol foods should be minimized to reduce liver stress​",https://www.health.harvard.edu/
Drug Reaction,"['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']","A balanced diet with a focus on antioxidants (berries, leafy greens), whole grains, and lean proteins can support immune recovery. Probiotics help restore gut health if antibiotics were involved."," Highly processed foods, sugar, and alcohol, which can further irritate the body during recovery​",https://www.mayoclinic.org/diseases-conditions/hypothyroidism/symptoms-causes/syc-20350284
Peptic ulcer disease,"['Antibiotics', 'Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Cytoprotective agents']","Lean proteins, low-fat dairy, and fibrous foods (e.g., apples, carrots, oatmeal). Probiotics like yogurt can help balance stomach flora.","Spicy foods, alcohol, caffeine, and acidic foods like citrus and tomatoes​",https://www.centerforvein.com/blog/foods-you-should-and-shouldnt-eat-if-you-have-varicose-veins-db
AIDS,"['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']","High-protein foods (e.g., lean meats, eggs), whole grains, and fruits and vegetables rich in antioxidants. Probiotic-rich foods like yogurt can help support gut health.","Raw or undercooked foods that may carry bacteria, and foods high in sugar which may compromise immune function",https://www.verywellhealth.com/foods-to-avoid-with-arthritis-5090739
Diabetes,"['Insulin', 'Metformin', 'Sulfonylureas', 'DPP-4 inhibitors', 'GLP-1 receptor agonists']","Whole grains, legumes, leafy greens, and healthy fats (e.g., olive oil, nuts). Foods with a low glycemic index like berries, sweet potatoes, and quinoa can help regulate blood sugar levels.","Sugary foods, refined carbohydrates, and processed snacks should be minimized to maintain balanced blood sugar",https://www.centerforvein.com/blog/foods-you-should-and-shouldnt-eat-if-you-have-varicose-veins-db
Gastroenteritis,"['Antibiotics', 'Antiemetic drugs', 'Antidiarrheal drugs', 'IV fluids', 'Probiotics']","Bland foods like bananas, rice, applesauce, and toast (BRAT diet). Hydration is key, so soups and electrolyte-rich drinks (e.g., coconut water) are recommended.","Dairy, caffeine, fatty foods, and highly seasoned foods, which may irritate the stomach",https://www.centerforvein.com/
Bronchial Asthma,"['Bronchodilators', 'Inhaled corticosteroids', 'Leukotriene modifiers', 'Mast cell stabilizers', 'Anticholinergics']","Omega-3 rich foods (like salmon, flaxseeds), antioxidant-rich fruits (berries, apples), and vegetables may reduce inflammation and improve lung function. Ginger and turmeric can help reduce symptoms.","Processed foods, sulfite-containing foods (like dried fruits, wine), and dairy for some people as they may trigger symptoms.",https://www.who.int/news-room/fact-sheets/detail/hepatitis-a
Hypertension,"['Antihypertensive medications', 'Diuretics', 'Beta-blockers', 'ACE inhibitors', 'Calcium channel blockers']","The DASH diet is highly recommended for managing blood pressure. It includes fruits, vegetables (especially potassium-rich like bananas, leafy greens), whole grains, and lean proteins (like poultry, fish). Foods rich in magnesium like oats and nuts are also beneficial.","Limit high-sodium foods like processed snacks, canned goods, and salty condiments. Also, minimize alcohol intake",https://www.who.int/publications/i/item/9789241506410
Migraine,"['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']","Magnesium-rich foods (like spinach, almonds), riboflavin (found in eggs, milk), and Coenzyme Q10 sources (like meats, oily fish) are helpful for prevention.","Caffeine, alcohol (especially red wine), aged cheeses, and processed meats can trigger migraines in sensitive individuals",https://www.medindia.net/health/diet-and-nutrition/hepatitis-diet-recommendations-foods-to-eat-and-avoid.htm
Cervical spondylosis,"['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']","Anti-inflammatory foods such as fatty fish (salmon, mackerel), nuts, seeds, and green leafy vegetables can reduce joint inflammation and pain."," Limit inflammatory foods like processed sugars, trans fats, and refined carbs.",https://nutritionguide.pcrm.org/nutritionguide/view/Nutrition_Guide_for_Clinicians/1342052/all/Viral_Hepatitis
Paralysis (brain hemorrhage),"['Blood thinners', 'Clot-dissolving medications', 'Anticonvulsants', 'Physical therapy', 'Occupational therapy']","Soft, nutrient-dense foods high in antioxidants (like berries), and omega-3 rich foods may aid in recovery and improve brain health."," Limit salt, processed fats, and sugary foods that may impair cardiovascular health.",
Jaundice,"['IV fluids', 'Blood transfusions', 'Medications for itching', 'Antiviral medications']","Fresh fruits (like papaya, mango) and vegetables (beetroot, spinach), as well as whole grains and herbal teas, support liver function.","Avoid fried foods, fatty meats, and alcohol, as they burden the liver.",
Malaria,"['Antimalarial drugs', 'Antipyretics', 'Antiemetic drugs', 'IV fluids', 'Blood transfusions']","High-protein foods like eggs, chicken, and legumes help rebuild muscle and strength. Citrus fruits like oranges and lemons boost immunity."," Limit high-fat foods and processed items, which can tax the immune system.",
Chicken pox,"['Antiviral drugs', 'Pain relievers', 'IV fluids', 'Blood transfusions', 'Platelet transfusions']","Soft, soothing foods like oatmeal, soups, and smoothies help when mouth sores are present. Foods rich in vitamins C and A (like oranges and carrots) promote healing.","Avoid spicy, salty, and acidic foods that can irritate blisters in the mouth.",
Dengue,"['Antibiotics', 'Antipyretics', 'Analgesics', 'IV fluids', 'Corticosteroids']","Hydrating foods and liquids like coconut water, papaya leaf juice (to boost platelet count), and vitamin C-rich fruits can aid recovery.","Spicy, oily, and processed foods should be avoided to prevent digestive stress.",
Typhoid,"['Vaccination', 'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Liver transplant']"," Soft, easily digestible foods such as boiled potatoes, bananas, and porridge. Staying hydrated is critical, so include soups and fruit juices."," Avoid high-fiber, greasy, and spicy foods that strain digestion during recovery.",
hepatitis A,"['Vaccination', 'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Liver transplant']","Maintaining hydration and avoiding alcohol is crucial. Since it's transmitted via contaminated food or water, emphasis should be placed on safe and clean food sources​, A well-balanced diet rich in fruits, vegetables, whole grains, and lean proteins is essential for all types of hepatitis. Focus on foods that support liver health, such as leafy greens, citrus fruits, and foods high in antioxidants (e.g., berries).","Alcohol, High-fat foods, Sugary foods and beverages and Processed foods.",
Hepatitis B,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']"," A high-protein diet helps with liver regeneration, while limiting saturated fats and alcohol is advised. Foods like legumes, lean meats, and healthy fats (like omega-3-rich fish) are ideal, A well-balanced diet rich in fruits, vegetables, whole grains, and lean proteins is essential for all types of hepatitis. Focus on foods that support liver health, such as leafy greens, citrus fruits, and foods high in antioxidants ","Alcohol, High-fat foods, Sugary foods and beverages and Processed foods.",
Hepatitis C,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']","A high-protein diet helps with liver regeneration, while limiting saturated fats and alcohol is advised. Foods like legumes, lean meats, and healthy fats (like omega-3-rich fish) are ideal, A well-balanced diet rich in fruits, vegetables, whole grains, and lean proteins is essential for all types of hepatitis. Focus on foods that support liver health, such as leafy greens, citrus fruits, and foods high in antioxidants (e.g., berries).","Alcohol, High-fat foods, Sugary foods and beverages and Processed foods.",
Hepatitis D,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']","safe drinking water and proper hygiene practices are critical. Nutritional recommendations focus on high-protein, low-fat diets, A well-balanced diet rich in fruits, vegetables, whole grains, and lean proteins is essential for all types of hepatitis. Focus on foods that support liver health, such as leafy greens, citrus fruits, and foods high in antioxidants (e.g., berries).","Alcohol, High-fat foods, Sugary foods and beverages and Processed foods.",
Hepatitis E,"['Alcohol cessation', 'Corticosteroids', 'IV fluids', 'Liver transplant', 'Nutritional support']","safe drinking water and proper hygiene practices are critical. Nutritional recommendations focus on high-protein, low-fat diets, A well-balanced diet rich in fruits, vegetables, whole grains, and lean proteins is essential for all types of hepatitis. Focus on foods that support liver health, such as leafy greens, citrus fruits, and foods high in antioxidants (e.g., berries).","Alcohol, High-fat foods, Sugary foods and beverages and Processed foods.",
Alcoholic hepatitis,"['Antibiotics', 'Isoniazid', 'Rifampin', 'Ethambutol', 'Pyrazinamide']","Foods rich in antioxidants (berries, nuts), omega-3 fatty acids (fish), and fiber (whole grains, legumes) support liver recovery​","Alcohol, High-fat foods, Sugary foods and beverages and Processed foods.",
Tuberculosis,"['Antipyretics', 'Decongestants', 'Cough suppressants', 'Antihistamines', 'Pain relievers']","WHO recommends a nutrient-rich diet to prevent and manage undernutrition, which is common in tuberculosis patients. Key foods include protein-rich items like eggs, legumes, and meat, alongside vitamins A, C, and D-rich foods such as carrots, citrus fruits, and dairy. Fortified foods can also be beneficial","Alcohol, High-sugar foods, Processed foods and Saturated and Trans fats.",
Common Cold,"['Antibiotics', 'Antiviral drugs', 'Antifungal drugs', 'IV fluids', 'Oxygen therapy']","A diet rich in vitamin C (citrus fruits, berries) and zinc (nuts, seeds, and legumes) can help support immune function. Warm fluids, like soups and teas, help alleviate symptoms​","Dairy, Sugary foods and Caffeinated drinks.",
Pneumonia,"['Laxatives', 'Pain relievers', 'Warm baths', 'Cold compresses', 'High-fiber diet']","Protein-rich foods such as chicken, beans, and eggs help repair body tissues. Staying hydrated with warm fluids and eating fruits high in antioxidants (like berries) supports immune health​.","Avoid excess sugar, alcohol, and processed foods high in sodium to maintain a strong immune system.",
Dimorphic hemmorhoids(piles),"['Nitroglycerin', 'Aspirin', 'Beta-blockers', 'Calcium channel blockers', 'Thrombolytic drugs']","A fiber-rich diet is essential to prevent constipation, which exacerbates piles. Foods such as whole grains, fruits, and vegetables, especially those rich in water content (e.g., cucumbers, melons), are recommended. Avoid spicy and processed foods that may irritate the digestive tract.","White bread, processed grains, and pastries can contribute to constipation, worsening piles, Spicyfoods, Alcohol and Caffeinated beverages.",
Heart attack,"['Compression stockings', 'Exercise', 'Elevating the legs', 'Sclerotherapy', 'Laser treatments']","Whole grains, fruits, vegetables, lean proteins (like fish), and unsaturated fats (e.g., olive oil). These help improve cardiovascular health by reducing cholesterol and inflammation.","Saturated fats (like red meat, butter), trans fats (found in processed snacks), high-sodium foods, and sugary drinks, which increase the risk of heart disease​",
Varicose veins,"['Levothyroxine', 'Antithyroid medications', 'Beta-blockers', 'Radioactive iodine', 'Thyroid surgery']","High-fiber foods (e.g., fruits, vegetables, chia seeds), and anti-inflammatory foods like berries, avocados, and ginger. These support vein health and circulation​","Salt, sugar, and refined carbs. These can increase bloating and worsen varicose veins​",
Hypothyroidism,"['Antithyroid medications', 'Radioactive iodine', 'Thyroid surgery', 'Beta-blockers', 'Corticosteroids']","Iodine-rich foods (like seaweed, fish), selenium (brazil nuts, eggs), and zinc (pumpkin seeds, legumes).","Highly processed foods, cruciferous vegetables (like broccoli in excess), and soy products, which can interfere with thyroid hormone production​.",
Hyperthyroidism,"['Glucose tablets', 'Candy or juice', 'Glucagon injection', 'IV dextrose', 'Diazoxide']","Cruciferous vegetables (like broccoli and cauliflower), dairy, and foods high in calcium to combat bone loss."," Iodine-rich foods (like seaweed and iodized salt) and caffeine, which can exacerbate symptoms like restlessness.",
Hypoglycemia,"['Pain relievers', 'Exercise', 'Hot and cold packs', 'Joint protection', 'Physical therapy']","Complex carbs (whole grains, fruits), lean protein, and healthy fats to maintain stable blood sugar levels.","Refined sugars, white bread, and excessive caffeine, which can cause spikes and drops in blood sugar​.",
Osteoarthristis,"['NSAIDs', 'Disease-modifying antirheumatic drugs (DMARDs)', 'Biologics', 'Corticosteroids', 'Joint replacement surgery']","Omega-3 rich foods (salmon, flaxseeds), antioxidants (berries, leafy greens), and healthy fats (olive oil).","Sugary foods, red meat, processed foods, and alcohol, which can increase inflammation and worsen arthritis symptoms.",
Arthritis,"['Vestibular rehabilitation', 'Canalith repositioning', 'Medications for nausea', 'Surgery', 'Home exercises']","Omega-3 rich foods (salmon, flaxseeds), antioxidants (berries, leafy greens), and healthy fats (olive oil).","Sugary foods, red meat, processed foods, and alcohol, which can increase inflammation and worsen arthritis symptoms.",
(vertigo) Paroymsal Positional Vertigo,"['Topical treatments', 'Antibiotics', 'Oral medications', 'Hormonal treatments', 'Isotretinoin']","Hydrating foods (fruits, vegetables) and foods rich in vitamin D.","High-sodium foods and caffeine, as they can exacerbate dizziness​",
Acne,"['Antibiotics', 'Pain relievers', 'Antihistamines', 'Corticosteroids', 'Topical treatments']","Low-glycemic foods (whole grains, leafy greens), omega-3 rich foods, and foods rich in vitamins A and E.","Dairy, high-sugar foods, and processed snacks, which can trigger acne​.",
Urinary tract infection,"['Antibiotics', 'Urinary analgesics', 'Phenazopyridine', 'Antispasmodics', 'Probiotics']","Cranberries, blueberries, and foods with high water content (like cucumbers) to promote urinary health.","Caffeine, alcohol, and spicy foods, which can irritate the bladder​.",
Psoriasis,"['Topical treatments', 'Phototherapy', 'Systemic medications', 'Biologics', 'Coal tar']","Omega-3 fatty acids (from fish), fruits, vegetables, and whole grains that reduce inflammation.","Alcohol, red meat, dairy, and processed foods that can trigger flare-ups.",
Impetigo,"['Topical antibiotics', 'Oral antibiotics', 'Antiseptics', 'Ointments', 'Warm compresses']","Immune-boosting foods (citrus fruits, garlic, ginger) to support recovery.","Sugary and processed foods, which can weaken immune function​.",